condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.3,0.6,202,4,2.262665798187256,17.2,2.2392061767578126,18.1,0.8348629176616669,0.05259454529732466,0.0,0.0,12.195121869444847
clean,tensor,0.3,0.6,202,5,2.2076614246368407,18.1,2.174923583984375,19.3,0.8654021769762039,0.04337134212255478,0.0,0.0,50.609755516052246
clean,tensor,0.3,0.6,202,6,2.149435678482056,21.75,2.145146240234375,19.9,0.8720257431268692,0.05425204150378704,0.0,0.0,32.926828786730766
clean,tensor,0.3,0.05,303,1,2.3172243766784666,10.6,2.2481573486328124,17.2,0.8392768353223801,0.022242441191338003,0.0,0.0,25.0
clean,tensor,0.3,0.05,303,2,2.1818025436401367,18.45,2.2296669921875,19.1,0.8060949742794037,0.027777541894465685,0.0,0.0,0.0
clean,tensor,0.3,0.05,303,3,2.078445323944092,21.1,1.9989252319335937,25.3,0.779172345995903,0.03161544632166624,0.0,0.0,0.6097560748457909
clean,tensor,0.3,0.05,303,4,1.9594802131652833,28.1,1.8899197387695312,30.5,0.8013478219509125,0.03150093136355281,0.0,0.0,0.0
clean,tensor,0.3,0.05,303,5,1.8803389768600465,32.2,1.8614703979492186,32.3,0.8066318184137344,0.027238641399890184,0.0,0.0,1.8292682245373726
clean,tensor,0.3,0.05,303,6,1.845892520904541,31.7,1.84087841796875,32.3,0.7995388954877853,0.028682375326752663,0.0,0.0,0.0
clean,output,0.3,0.05,303,1,2.315022035598755,10.6,2.2399833984375,19.4,0.8312331885099411,0.06467050686478615,0.06019499804824591,0.08849557489156723,29.42477911710739
clean,output,0.3,0.05,303,2,2.2346256008148195,15.8,2.193196533203125,20.3,0.7900475412607193,0.05853616539388895,0.05526736471801996,0.08849557489156723,1.9911504350602627
clean,output,0.3,0.05,303,3,2.11432905960083,20.65,2.0339111328125,25.8,0.7728584557771683,0.06190287321805954,0.06210733484476805,0.13274336233735085,1.0619468986988068
clean,output,0.3,0.05,303,4,2.0035087289810183,25.85,1.960765380859375,29.3,0.793564036488533,0.05635929200798273,0.05452073737978935,0.0,1.0176991112530231
clean,output,0.3,0.05,303,5,1.937129711151123,28.85,1.9150552368164062,29.7,0.7938926815986633,0.05463932268321514,0.05282874032855034,0.0,2.123893890529871
clean,output,0.3,0.05,303,6,1.906732159614563,30.6,1.8962251586914063,31.9,0.7952137887477875,0.053561112843453884,0.052525585517287254,0.0,1.1946902610361576
clean,output,0.3,0.2,303,1,2.3575459861755372,11.95,2.5652293701171875,10.0,0.8266247659921646,0.06478436291217804,0.05890107434242964,0.0,19.911505188792944
clean,output,0.3,0.2,303,2,2.359983890533447,9.6,2.3188931884765625,10.0,0.6789121925830841,0.09222101978957653,0.0869245957583189,3.2743362709879875,0.8407079614698887
clean,output,0.3,0.2,303,3,2.2954429817199706,12.25,2.25497216796875,16.5,0.76297427713871,0.07670028135180473,0.07028577663004398,0.13274336233735085,3.2300885766744614
clean,output,0.3,0.2,303,4,2.2242047443389894,16.7,2.16361572265625,19.2,0.8119044601917267,0.06928282603621483,0.06381200347095728,0.0,13.230088725686073
clean,output,0.3,0.2,303,5,2.1457633953094484,20.25,2.0912215576171875,21.4,0.8068749159574509,0.07115824334323406,0.06512983422726393,0.0,9.3362832441926
