condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
noise20,output,0.3,0.05,101,4,2.097903341293335,24.35,1.9426185913085938,30.4,0.7938560247421265,0.05328243412077427,0.05026534665375948,0.0,0.48672566190361977
noise20,output,0.3,0.05,101,5,2.065250545501709,25.6,1.920763671875,32.2,0.7932044267654419,0.05467599630355835,0.053434266708791256,0.044247787445783615,1.0619468986988068
noise20,output,0.3,0.05,101,6,2.04202339553833,27.45,1.9017620849609376,33.2,0.7808274030685425,0.05865983385592699,0.05720897205173969,0.0,0.7079645991325378
noise20,output,0.3,0.2,101,1,2.3228725662231446,11.1,2.3895205078125,10.0,0.8141850084066391,0.06759657710790634,0.06328417267650366,0.0,14.690265618264675
noise20,output,0.3,0.2,101,2,2.3265376167297362,10.95,2.219857666015625,16.9,0.7445735037326813,0.07857211865484715,0.07576248236000538,0.575221236795187,1.2389380484819412
noise20,output,0.3,0.2,101,3,2.223859914779663,16.55,2.088840087890625,23.1,0.7748792618513107,0.06781965866684914,0.06279141828417778,0.13274336233735085,1.9911504350602627
noise20,output,0.3,0.2,101,4,2.168136142730713,19.05,2.0263739013671875,26.6,0.7832526713609695,0.06443730555474758,0.060524921864271164,0.0,1.150442473590374
noise20,output,0.3,0.2,101,5,2.138932153701782,21.85,2.002862548828125,30.5,0.7960540652275085,0.06603102665394545,0.06362347956746817,0.0,2.743362821638584
noise20,output,0.3,0.2,101,6,2.118057809829712,24.25,1.988988525390625,29.0,0.7869608700275421,0.06987551599740982,0.06728100404143333,0.044247787445783615,4.557522293180227
noise20,tensor,0.3,0.2,101,1,2.3201340408325195,11.05,2.37384423828125,10.0,0.8149709552526474,0.03465210506692529,0.0,0.0,1.2195121496915817
noise20,tensor,0.3,0.2,101,2,2.316451385498047,12.0,2.1981318359375,19.2,0.7582192420959473,0.04115383978933096,0.0,0.0,0.0
noise20,tensor,0.3,0.2,101,3,2.219183725357056,15.8,2.0827115478515625,23.6,0.7814486622810364,0.03589899744838476,0.0,0.0,1.8292682245373726
noise20,tensor,0.3,0.2,101,4,2.1607119369506838,18.8,2.015738220214844,26.2,0.802617222070694,0.028111065737903118,0.0,0.0,0.0
noise20,tensor,0.3,0.2,101,5,2.1266780452728273,21.6,1.9901240234375,30.7,0.8172386437654495,0.02851064596325159,0.0,0.0,0.0
noise20,tensor,0.3,0.2,101,6,2.105869386672974,24.8,1.9758322143554687,28.6,0.8062311857938766,0.034922811202704906,0.0,0.0,0.0
noise20,tensor,0.3,0.6,101,1,2.395596061706543,11.1,2.4768055419921877,10.0,0.8066737502813339,0.04130577389150858,0.0,0.0,3.65853663533926
noise20,tensor,0.3,0.6,101,2,2.342266534805298,9.8,2.2846009521484376,11.2,0.6987457871437073,0.05957775004208088,0.0,0.6097560748457909,0.0
noise20,tensor,0.3,0.6,101,3,2.256175785064697,14.7,2.1171348876953124,19.3,0.80788953602314,0.04921734519302845,0.0,0.0,0.6097560748457909
noise20,tensor,0.3,0.6,101,4,2.196645488739014,18.55,2.035372314453125,24.6,0.8047831356525421,0.031267298851162195,0.0,0.0,0.0
noise20,tensor,0.3,0.6,101,5,2.1571852321624756,20.15,2.0346310424804686,28.0,0.818807378411293,0.03326054336503148,0.0,0.0,0.6097560748457909
noise20,tensor,0.3,0.6,101,6,2.135983875274658,22.3,2.00800341796875,26.9,0.8018305599689484,0.03920634649693966,0.0,0.0,4.878048598766327
noise20,output,0.3,0.6,101,1,2.398887273788452,11.15,2.391369873046875,11.8,0.7932391315698624,0.07516294158995152,0.0696648433804512,0.044247787445783615,13.982300739735365
noise20,output,0.3,0.6,101,2,2.3268744773864745,9.9,2.27273876953125,10.5,0.6929704546928406,0.1004013642668724,0.0945336315780878,3.7610620260238647,1.8141592852771282
noise20,output,0.3,0.6,101,3,2.2473014602661134,14.95,2.116853515625,17.9,0.7847108095884323,0.07481380924582481,0.0706808902323246,0.08849557489156723,3.9823008701205254
noise20,output,0.3,0.6,101,4,2.1881601486206055,17.75,2.048521240234375,26.8,0.784191757440567,0.0666522067040205,0.06557950749993324,0.044247787445783615,1.5486725606024265
noise20,output,0.3,0.6,101,5,2.150030614852905,22.2,2.0135274658203124,30.5,0.8029830455780029,0.061810496263206005,0.060497197322547436,0.0,3.628318663686514
noise20,output,0.3,0.6,101,6,2.1242388916015624,22.9,1.9870719604492189,29.4,0.782258614897728,0.06646140106022358,0.06318291183561087,0.044247787445783615,3.2743362709879875
noise20,output,1.0,0.05,101,1,2.3050953464508055,12.85,2.2062430419921877,21.2,0.8539420515298843,0.15746891871094704,0.15164629742503166,5.796460155397654,58.097343146800995
noise20,output,1.0,0.05,101,2,2.2130637130737303,18.85,2.078138244628906,23.4,0.7904024720191956,0.19054486602544785,0.1814524531364441,10.884955525398254,36.99115067720413
noise20,output,1.0,0.05,101,3,2.1458455581665037,20.55,2.0144251708984373,28.7,0.7687237709760666,0.19635677710175514,0.1821615882217884,12.964601442217827,36.01769916713238
noise20,output,1.0,0.05,101,4,2.0992999038696287,23.65,1.9422051391601562,31.9,0.7590774297714233,0.2169945240020752,0.20312334969639778,15.575221180915833,35.35398244857788
noise20,output,1.0,0.05,101,5,2.058947565078735,26.25,1.9104178466796875,33.0,0.830250933766365,0.16853246837854385,0.15915482118725777,6.814159359782934,50.44247880578041
noise20,output,1.0,0.05,101,6,2.037466354370117,27.5,1.900626220703125,34.7,0.8538956791162491,0.16087708249688148,0.14404011145234108,5.353982467204332,59.95575189590454
