condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
noise20,output,1.0,0.6,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,26.3,26.2,27.7,20.3,1.9797687377929687,2.1057644653320313,5,1.5407013749936596,48,False,0.7693643892804781,0.21126462953786054,0.19762462563812733,15.55309765972197,44.668141938745975
noise20,tensor,1.0,0.6,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,24.6,24.6,25.4,17.75,2.0413472900390626,2.1707806498209634,6,1.5622104170033708,48,False,0.7681909749905268,0.10315323752971987,0.0,8.841463209440311,31.808943363527458
clean,tensor,0.3,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,32.3,32.3,31.8,26.116666666666664,1.8408778076171874,2.0115023091634114,5,1.5600123750045896,48,False,0.8053436204791069,0.028176316467579454,0.0,0.0,4.573170716563861
clean,output,0.3,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,31.9,31.9,29.8,26.066666666666666,1.8962247924804687,2.0398557840983074,6,1.5864293329941574,48,False,0.7961349661151568,0.058278176778306566,0.05624074209481478,0.05162241868674755,6.135693285614252
clean,output,0.3,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,23.8,23.8,24.25,16.816666666666666,2.059706298828125,2.242272501627604,6,1.5428097910189535,48,False,0.7857382645209631,0.0734442329655091,0.06761817634105682,0.5678466055542231,10.427728792031607
clean,tensor,0.3,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,27.0,27.0,26.5,18.533333333333335,1.9572853393554688,2.1542127583821613,6,1.5612557500135154,48,False,0.7963844786087672,0.03654520361063381,0.0,0.0,4.166666604578495
clean,tensor,0.3,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,24.4,24.0,23.3,16.966666666666665,2.0427552490234375,2.3009615275065105,5,1.5561916659935378,48,False,0.7805261934796969,0.051575780690958105,0.0,0.10162601247429848,10.569105669856071
clean,output,0.3,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,28.0,28.0,27.3,19.900000000000002,1.9606075439453126,2.1631509704589846,6,1.568078208976658,48,False,0.7766689509153366,0.07371000060811639,0.0690236014003555,0.6415929179638624,8.119468934213122
clean,output,1.0,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,28.8,28.8,28.3,22.633333333333336,1.9366707763671875,2.062563934326172,6,1.54921800000011,48,False,0.7984639356533686,0.19123859517276287,0.17698580243935189,11.084070801734924,44.32153378923734
clean,tensor,1.0,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,31.4,31.4,31.0,26.400000000000002,1.8658469848632813,2.011490753173828,6,1.5826712920097634,48,False,0.7996635437011719,0.0897354712554564,0.0,5.284552834928036,29.979674735416967
clean,tensor,1.0,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,24.3,24.3,23.35,17.766666666666666,2.0482802734375,2.241038370768229,6,1.5752375829906669,48,False,0.7697010909517606,0.10786630896230538,0.0,6.300812928626935,28.25203249230981
clean,output,1.0,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,31.5,31.5,30.75,24.78333333333333,1.8840496826171875,2.068308186848958,6,1.562273165996885,48,False,0.7773006881276766,0.21320071133474508,0.19954453067233166,13.384955857569972,40.60471964379152
clean,output,1.0,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,29.2,29.2,28.0,21.366666666666664,1.95370068359375,2.1413042500813804,6,1.5847608339972794,48,False,0.7654777392745018,0.21450008545070887,0.19719019625335932,15.60471992318829,40.94395283609629
clean,tensor,1.0,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,29.7,28.6,27.1,20.5,1.966580810546875,2.1512389424641927,5,1.5585061250021681,48,False,0.7816753822068373,0.11568116225923102,0.0,9.044715265432993,34.04471520334482
noise20,tensor,0.3,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,32.1,31.9,29.9,26.366666666666664,1.947998779296875,2.0604768880208333,5,1.563984958018409,48,False,0.802622432510058,0.024686727905645967,0.0,0.0,4.369918691615264
noise20,output,0.3,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,33.4,33.4,30.35,26.516666666666666,1.94176220703125,2.0619910278320313,6,1.5595864999922924,48,False,0.7928864508867264,0.05889715766534209,0.056315210182219744,0.014749262481927872,5.663716762016217
noise20,output,0.3,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,29.7,29.7,29.2,22.21666666666667,1.9792504272460938,2.113251912434896,6,1.5496604170184582,48,False,0.786733033756415,0.06390010053291917,0.06117503220836321,0.05162241868674755,5.376106267794967
noise20,tensor,0.3,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,27.5,27.5,27.45,21.5,2.003683044433594,2.1035694478352864,6,1.569942500005709,48,False,0.7933706119656563,0.02939074917230755,0.0,0.0,2.540650498121977
noise20,tensor,0.3,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,28.1,27.5,26.3,20.666666666666668,2.0246046752929687,2.1565399678548176,5,1.5508394580101594,48,False,0.7922594572106997,0.03758749241630236,0.0,0.0,6.80894311517477
noise20,output,0.3,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,28.4,28.4,26.15,19.433333333333334,1.9995059814453124,2.151282867431641,6,1.5559917089994997,48,False,0.7735406309366226,0.07090902281925082,0.06659322325140238,0.2654867246747017,6.482301031549771
noise20,output,1.0,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,32.8,32.8,30.9,26.349999999999998,1.9287825927734374,2.057504892985026,6,1.5484766670269892,48,False,0.7986230775713921,0.19108294478307167,0.18121143647780022,11.03982306085527,42.315634029606976
